time,true_x,true_y,true_z,trained_x,trained_y,trained_z
6.75,-8.442315606923716,-5.965096435315529,29.907580029993394,-9.033920187891892,-6.477251421242067,30.63616299880816
6.76,-8.196418270807536,-5.760310485887655,29.601515474843456,-8.777178040171044,-6.190644388708024,30.38640544481485
6.7700000000000005,-7.955971220789414,-5.587282787210012,29.27438030621632,-8.519136550825396,-5.936060942957408,30.1041649174734
6.78,-7.723459779645931,-5.445563722439739,28.93044161201454,-8.263004192883907,-5.714324518870535,29.794380841812394
6.79,-7.501070166147339,-5.33431201910131,28.573676967587012,-8.011729537650456,-5.525582828188153,29.46181699237094
6.8,-7.290685832287231,-5.252399874000102,28.20775102124777,-7.767967475059967,-5.3694264894554165,29.110978634087598
6.8100000000000005,-7.093893713562724,-5.198508237134165,27.836010703195498,-7.534060015486816,-5.245008969102971,28.74605916334329
6.82,-6.911998334708953,-5.1712096628230135,27.461494724189166,-7.312030088083479,-5.151161191039321,28.37091238374611
6.83,-6.746041897560905,-5.16903761248531,27.086953641101495,-7.103586348958051,-5.086496064963315,27.989045802198863
6.84,-6.596828247526355,-5.190541876350302,26.714876548204572,-6.9101368370212874,-5.049499916821836,27.60363016462902
6.8500000000000005,-6.464949281957278,-5.234330881250805,26.347521978387196,-6.73280930212826,-5.038609357167951,27.217520729825697
6.86,-6.350812241524447,-5.2991018092142195,25.986950508096974,-6.572476262183687,-5.052273262110515,26.83328651087161
6.87,-6.254666748897921,-5.383659901401582,25.635057456622214,-6.42978273485416,-5.089000406894269,26.453243811488935
6.88,-6.176630635503935,-5.486928349524384,25.293604469710704,-6.305175299993804,-5.147393939367764,26.079491913580362
6.890000000000001,-6.11671386038556,-5.607950172114795,24.964249221050242,-6.198931071136452,-5.2261740742247,25.713948806547265
6.9,-6.074840001571352,-5.7458833298786764,24.64857275596755,-6.1111855741813645,-5.324190595582561,25.358385692959136
6.91,-6.050864898723635,-5.899990361083689,24.348104147736933,-6.041958731713458,-5.440426699361725,25.01445939506634
6.92,-6.044592418630553,-6.069623123489387,24.064342505080248,-5.991178389516754,-5.573995600651124,24.68374217991895
6.93,-6.055786982239426,-6.254203752302432,23.79877607966297,-5.958700990516568,-5.724131149598686,24.367748753495242
6.94,-6.08418293733454,-6.453202255719345,23.552898504668153,-5.944329129699806,-5.890173556229819,24.06796033521847
6.95,-6.129490778878964,-6.666111169286124,23.32822204931274,-5.947825916170057,-6.071550958750356,23.78584582859439
6.96,-6.191400228700087,-6.892417592768951,23.126287727592057,-5.96892604820837,-6.2677575157619065,23.522880097931104
6.97,-6.269580242952385,-7.131572823429254,22.948671982368655,-6.007343583022,-6.478328523298579,23.280559334187906
6.98,-6.363676025152221,-7.382959759989227,22.79698954515574,-6.062776487720603,-6.7028128429258835,23.060413422385945
6.99,-6.473303115253102,-7.645858283428534,22.672891988688093,-6.134908032551507,-6.94074281797344,22.864015116229808
7.0,-6.5980386570074,-7.919408786021489,22.578061275352198,-6.2234050591162,-7.191601820875133,22.692985732652698
7.01,-6.737409960074723,-8.202574305969298,22.514197484161773,-6.327913241924662,-7.454789529464884,22.548996865368842
7.0200000000000005,-6.89088049270257,-8.49410177264651,22.48299990131639,-6.448049388860195,-7.729585067758304,22.433767574966872
7.03,-7.057833507487953,-8.79248315717614,22.48614046079536,-6.583390885366397,-8.015108236709182,22.349056179818767
7.04,-7.237553562985949,-9.095917652538969,22.525228539067495,-6.733462365959293,-8.31027912267988,22.29664596373202
7.05,-7.429206340179876,-9.402276575404947,22.601766070794604,-6.897719784566613,-8.613776816204673,22.27832336303011
7.0600000000000005,-7.631817223664588,-9.70907280379555,22.7170924488245,-7.075532071902962,-8.923998104660804,22.29584786892709
7.07,-7.8442493030854274,-10.013437251956612,22.872318625046738,-7.266160575038461,-9.239017032026501,22.350912701562144
