time,true_x,true_y,true_z,sindy_x,sindy_y,sindy_z
0.52,7.508874450658889,-7.659092007878137,38.911531939708425,7.818454314207295,-7.497982661927463,39.25756751567017
0.53,6.034028459862987,-8.265951208294622,37.3555733083041,6.330451844219643,-8.16229819005061,37.68381943725551
0.54,4.653370930877729,-8.64333030437783,35.92723344910394,4.932736312279393,-8.585905680792434,36.23277952443243
0.55,3.3769409839482427,-8.848381043756481,34.63604585625445,3.6367129580418727,-8.826968917564791,34.916972923569425
0.56,2.2088321651081646,-8.92887736197423,33.480513555384476,2.4476099380141503,-8.93465021180861,33.73696191589045
0.5700000000000001,1.148659686274365,-8.923230861704226,32.45252292215031,1.3659433529222467,-8.948831901452532,32.685925519548235
0.58,0.19283803407846808,-8.861404862434792,31.540561308006897,0.3888149851784569,-8.900859885444898,31.753064229129222
0.59,-0.6643712780310166,-8.766200996086585,30.731893550197867,-0.48900948072203465,-8.814747776464367,30.92594681649055
0.6,-1.430038547599275,-8.65459877734376,30.013926961568238,-1.2742462401013712,-8.708491051733013,30.192013458161984
0.61,-2.1119457088642504,-8.538982332048672,29.374990888076653,-1.97444206994173,-8.595300009042653,29.539459044956594
0.62,-2.7181333820810023,-8.428184864595623,28.804719468793298,-2.5974942093658564,-8.484665951225056,28.957689499092382
0.63,-3.256580946226777,-8.328338074613992,28.29418077489656,-3.1513078732844457,-8.383237596186413,28.43750056446493
0.64,-3.734988996905954,-8.243541830125377,27.835854220297378,-3.6435606234018745,-8.295517514779048,27.97108705156998
0.65,-4.160638629011166,-8.1763807728847,27.42352484748424,-4.081547471247288,-8.224402674783102,27.551956453238635
0.66,-4.5403070120785385,-8.128316697044877,27.052138846185983,-4.472085595156156,-8.171596975914888,27.174795198658405
0.67,-4.880223380202171,-8.099983223226555,26.717647436686693,-4.821462160575247,-8.137922191044499,26.835317589065415
0.68,-5.186053560074184,-8.091404744327335,26.416854309592036,-5.135412639429626,-8.123550054913158,26.530115064473982
0.6900000000000001,-5.462903769435389,-8.102158038145557,26.147275274892817,-5.419120176131357,-8.128174030399135,26.256515327974398
0.7000000000000001,-5.715337297367665,-8.13149029520566,25.907013173654125,-5.677229009872098,-8.151135343181922,26.01245571792628
0.71,-5.947399148571967,-8.178404405836767,25.694648831388076,-5.913866844668898,-8.191514531166307,25.7963720997304
