true_x,true_y,true_z,pred_x,pred_y,pred_z
-9.342898,-12.064756,24.219397,-9.342992,-12.067487,24.223177
-9.61254,-12.277776,24.720928,-9.612603,-12.279679,24.726381
-9.874751,-12.447552,25.25968,-9.874774,-12.448391,25.266706
-10.12583,-12.568098,25.829962,-10.125806,-12.567656,25.83836
-10.361882,-12.633955,26.424788,-10.361804,-12.632052,26.434227
-10.5789,-12.640482,27.035929,-10.578767,-12.637019,27.045948
-10.77287,-12.584166,27.654037,-10.77268,-12.57914,27.664066
-10.939891,-12.462898,28.268858,-10.939651,-12.456451,28.27824
-11.07631,-12.276226,28.869532,-11.076029,-12.268644,28.877558
-11.178867,-12.025523,29.444954,-11.178563,-12.017248,29.450949
-11.244834,-11.714069,29.9842,-11.244529,-11.705687,29.987583
-11.272148,-11.347024,30.476965,-11.271866,-11.339213,30.47733
-11.259517,-10.931277,30.914003,-11.259283,-10.924746,30.911177
-11.206501,-10.475193,31.287512,-11.206341,-10.470591,31.281616
-11.113558,-9.988248,31.591442,-11.113486,-9.986088,31.582891
-10.982037,-9.480614,31.82171,-10.982066,-9.481182,31.811188
-10.814144,-8.962694,31.976274,-10.814274,-8.96601,31.964682
-10.612858,-8.444677,32.0551,-10.613078,-8.450458,32.04344
-10.381817,-7.9361224,32.06001,-10.382106,-7.9438148,32.049286
-10.125176,-7.4456244,31.994448,-10.1255045,-7.454465,31.985548
-9.847458,-6.9805574,31.863176,-9.8477955,-6.989675,31.856773
-9.5533905,-6.546929,31.671938,-9.553703,-6.5554457,31.668447
-9.247754,-6.14932,31.427118,-9.248013,-6.1564617,31.426666
-8.935241,-5.7909174,31.135437,-8.935426,-5.79609,31.137873
-8.620339,-5.473612,30.803669,-8.620437,-5.476452,30.808626
-8.307231,-5.198148,30.438417,-8.307237,-5.198546,30.445389
-7.999724,-4.9643025,30.045952,-7.9996424,-4.9623766,30.054342
-7.701202,-4.7710786,29.632082,-7.7010455,-4.7671347,29.6413
-7.4146028,-4.6168947,29.202108,-7.414388,-4.6113596,29.211594
-7.1424146,-4.499764,28.760778,-7.14216,-4.4931316,28.770065
-6.8866844,-4.417452,28.3123,-6.886409,-4.410224,28.321022
-6.649047,-4.367612,27.860373,-6.648767,-4.360252,27.868267
-6.430756,-4.347893,27.408226,-6.430487,-4.3407946,27.415123
-6.232727,-4.35603,26.958681,-6.23248,-4.349495,26.964489
-6.055578,-4.3899,26.514196,-6.055361,-4.3841467,26.518896
-5.899676,-4.4475703,26.076935,-5.8994937,-4.442728,26.080542
-5.765179,-4.5273223,25.648815,-5.7650337,-4.5234456,25.651375
-5.652077,-4.627665,25.231562,-5.6519685,-4.624742,25.233137
-5.5602317,-4.747334,24.826756,-5.5601573,-4.745315,24.827412
-5.489406,-4.8852854,24.435871,-5.489363,-4.8840895,24.435678
-5.439298,-5.04068,24.060318,-5.4392824,-5.040205,24.059336
-5.409563,-5.2128644,23.701466,-5.40957,-5.2130046,23.699755
-5.3998346,-5.4013467,23.360683,-5.3998613,-5.401993,23.358284
-5.4097424,-5.6057687,23.039358,-5.409785,-5.6068263,23.036314
-5.4389205,-5.825877,22.738918,-5.438976,-5.8272605,22.73527
-5.4870195,-6.061492,22.460854,-5.487085,-6.063131,22.456636
-5.5537076,-6.312471,22.206734,-5.5537806,-6.3143115,22.201984
-5.638671,-6.578675,21.978216,-5.63875,-6.580676,21.972977
-5.7416105,-6.8599253,21.777067,-5.7416954,-6.862066,21.771376
-5.862237,-7.155966,21.605156,-5.8623266,-7.1582355,21.599072
-6.000257,-7.4664145,21.464472,-6.0003514,-7.4688177,21.45805
-6.155361,-7.7907147,21.35711,-6.155461,-7.793265,21.35043
-6.3272057,-8.128084,21.285267,-6.3273115,-8.130802,21.278416
-6.5153923,-8.477455,21.251228,-6.515505,-8.4803705,21.244314
-6.719443,-8.83742,21.257334,-6.7195625,-8.840556,21.250484
-6.9387717,-9.206169,21.305939,-6.9388995,-9.209548,21.299303
-7.1726546,-9.581427,21.399368,-7.172791,-9.585063,21.39311
-7.420195,-9.960397,21.539837,-7.42034,-9.964288,21.534151
-7.6802883,-10.339708,21.72937,-7.6804404,-10.343836,21.724464
-7.9515843,-10.715373,21.969688,-7.951742,-10.719688,21.96579
-8.232451,-11.08276,22.262083,-8.232612,-11.087182,22.259426
-8.520941,-11.436596,22.60727,-8.521098,-11.440999,22.606081
-8.814757,-11.77099,23.005224,-8.814907,-11.775209,23.005713
-9.111237,-12.079503,23.455011,-9.11137,-12.083331,23.457352
-9.407331,-12.355261,23.954601,-9.407441,-12.358449,23.958912
-9.699619,-12.591122,24.500715,-9.699694,-12.593385,24.50702
-9.984315,-12.779896,25.088675,-9.9843445,-12.780941,25.09689
-10.257322,-12.914625,25.71231,-10.257297,-12.914165,25.72221
-10.514295,-12.988907,26.363922,-10.514204,-12.9867,26.375128
-10.7507305,-12.99725,27.03432,-10.750571,-12.993144,27.046293
-10.962094,-12.935444,27.712976,-10.961866,-12.929413,27.725018
-11.143957,-12.800915,28.388256,-11.143666,-12.7930975,28.399551
-11.29216,-12.593027,29.047781,-11.291818,-12.583763,29.057453
-11.40298,-12.313301,29.678858,-11.402608,-12.303139,29.686054
