true_x,true_y,true_z,pred_x,pred_y,pred_z
-6.6530952,-8.483422,21.716375,-6.605785493,-8.157744864,21.49014091
-6.843535,-8.8209305,21.721075,-6.796550624,-8.492546825,21.48448629
-7.048339,-9.165732,21.765928,-7.001880119,-8.838280898,21.51694197
-7.26673,-9.5155945,21.852938,-7.221045018,-9.193181831,21.58970777
-7.4977694,-9.867823,21.983976,-7.453160885,-9.555034533,21.70497784
-7.7403293,-10.219222,22.160702,-7.697156973,-9.921123934,21.86486846
-7.9930577,-10.566069,22.384464,-7.951743505,-10.28818154,22.07134339
-8.254352,-10.904093,22.656195,-8.215380026,-10.65234993,22.3261063
-8.522329,-11.228491,22.976282,-8.486245139,-11.0091549,22.63048874
-8.794804,-11.533951,23.344423,-8.762210932,-11.35350456,22.98531279
-9.06927,-11.814731,23.759495,-9.040822316,-11.6797066,23.39073414
-9.342898,-12.064756,24.219397,-9.31928754,-11.98152738,23.84607941
-9.61254,-12.277776,24.720928,-9.594478396,-12.25229256,24.34966931
-9.874751,-12.447552,25.25968,-9.862948783,-12.48503293,24.89864949
-10.12583,-12.568098,25.829962,-10.12096853,-12.67268369,25.48883291
-10.361882,-12.633955,26.424788,-10.36458072,-12.808336,26.11457646
-10.5789,-12.640482,27.035929,-10.58967969,-12.8855456,26.76869974
-10.77287,-12.584166,27.654037,-10.792113,-12.89866608,27.4424772
-10.939891,-12.462898,28.268858,-10.96780331,-12.84321791,28.12570902
-11.07631,-12.276226,28.869532,-11.11288473,-12.71624553,28.80689147
-11.178867,-12.025523,29.444954,-11.22385574,-12.51664431,29.47349848
-11.244834,-11.714069,29.9842,-11.29772687,-12.24542771,30.11236353
-11.272148,-11.347024,30.476965,-11.33216507,-11.90588137,30.71015965
-11.259517,-10.931277,30.914003,-11.32561991,-11.50360329,31.25394513
-11.206501,-10.475193,31.287512,-11.2774171,-11.04638441,31.73174782
-11.113558,-9.988248,31.591442,-11.18781872,-10.54394578,32.1331353
-10.982037,-9.480614,31.82171,-11.05803556,-10.00752177,32.44972438
-10.814144,-8.962694,31.976274,-10.89020077,-9.449338852,32.67559779
-10.612858,-8.444677,32.0551,-10.68728841,-8.882018305,32.80756148
-10.381817,-7.9361224,32.06001,-10.45300405,-8.317955953,32.84524334
-10.125176,-7.4456244,31.994448,-10.19163762,-7.768739846,32.79101215
-9.847458,-6.9805574,31.863176,-9.907900322,-7.244651776,32.64973147
-9.5533905,-6.546929,31.671938,-9.606751982,-6.754288288,32.42837606
-9.247754,-6.14932,31.427118,-9.293232845,-6.304331515,32.13554461
-8.935241,-5.7909174,31.135437,-8.97230685,-5.89946882,31.78092751
-8.620339,-5.473612,30.803669,-8.648726326,-5.542452288,31.37476508
-8.307231,-5.198148,30.438417,-8.326921859,-5.234276534,30.92734956
-7.999724,-4.9643025,30.045952,-8.010920478,-4.974437021,30.44859537
-7.701202,-4.7710786,29.632082,-7.704291139,-4.761237182,29.9477062
-7.4146028,-4.6168947,29.202108,-7.410116007,-4.592112209,29.43293901
-7.1424146,-4.499764,28.760778,-7.130985793,-4.463935542,28.91147551
-6.8866844,-4.417452,28.3123,-6.869013509,-4.373298018,28.38937725
-6.649047,-4.367612,27.860373,-6.625862893,-4.316733262,27.87161646
-6.430756,-4.347893,27.408226,-6.402787064,-4.29089844,27.36215937
-6.232727,-4.35603,26.958681,-6.200675081,-4.292700628,26.86408533
-6.055578,-4.3899,26.514196,-6.020100997,-4.319379804,26.37972695
-5.899676,-4.4475703,26.076935,-5.861372669,-4.368551281,25.91080944
-5.765179,-4.5273223,25.648815,-5.724581533,-4.43821986,25.45859035
-5.652077,-4.627665,25.231562,-5.609647566,-4.526769762,25.02398459
-5.5602317,-4.747334,24.826756,-5.516359845,-4.63294169,24.60767217
-5.489406,-4.8852854,24.435871,-5.444413951,-4.755796353,24.21019545
-5.439298,-5.04068,24.060318,-5.393442904,-4.894676126,23.83203146
-5.409563,-5.2128644,23.701466,-5.36304466,-5.049163074,23.47365579
-5.3998346,-5.4013467,23.360683,-5.352802464,-5.219037152,23.13558676
-5.4097424,-5.6057687,23.039358,-5.362302448,-5.404235802,22.81842716
-5.4389205,-5.825877,22.738918,-5.391144632,-5.604813721,22.52288991
-5.4870195,-6.061492,22.460854,-5.438952272,-5.82090624,22.24981989
-5.5537076,-6.312471,22.206734,-5.505374749,-6.052691518,22.00021195
